-- Dummy data: 300 rows for subscription_management schema
-- Table: customers (no portal_user_id; safe if you already have users/roles).
-- Run in MySQL after: SOURCE subscription_management.sql (or existing DB).
-- Suggested order: 1) this file, 2) dummy_products_300.txt, 3) dummy_subscriptions_300.txt

SET FOREIGN_KEY_CHECKS=0;
INSERT INTO customers (customer_name, email, phone, company_name, billing_address, shipping_address, tax_number, portal_user_id, status) VALUES
  ('Dummy Customer 1', 'dummy.customer.1@example.test', '+1-555-1001', 'Acme Division 2 LLC', '1 Test Street, Suite 1, Metro City, TC 10001', '1 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000001', NULL, 'ACTIVE'),
  ('Dummy Customer 213', 'dummy.customer.213@example.test', '+1-555-1213', 'Acme Division 14 LLC', '213 Test Street, Suite 13, Metro City, TC 10213', '213 Ship Lane, Dock 3, Port Town, PT 90210', 'TAX-1000213', NULL, 'ACTIVE'),
  ('Dummy Customer 214', 'dummy.customer.214@example.test', '+1-555-1214', 'Acme Division 15 LLC', '214 Test Street, Suite 14, Metro City, TC 10214', '214 Ship Lane, Dock 4, Port Town, PT 90210', 'TAX-1000214', NULL, 'ACTIVE'),
  ('Dummy Customer 215', 'dummy.customer.215@example.test', '+1-555-1215', 'Acme Division 16 LLC', '215 Test Street, Suite 15, Metro City, TC 10215', '215 Ship Lane, Dock 5, Port Town, PT 90210', 'TAX-1000215', NULL, 'ACTIVE'),
  ('Dummy Customer 216', 'dummy.customer.216@example.test', '+1-555-1216', 'Acme Division 17 LLC', '216 Test Street, Suite 16, Metro City, TC 10216', '216 Ship Lane, Dock 6, Port Town, PT 90210', 'TAX-1000216', NULL, 'ACTIVE'),
  ('Dummy Customer 217', 'dummy.customer.217@example.test', '+1-555-1217', 'Acme Division 18 LLC', '217 Test Street, Suite 17, Metro City, TC 10217', '217 Test Street, Suite 17, Metro City, TC 10217', 'TAX-1000217', NULL, 'ACTIVE'),
  ('Dummy Customer 218', 'dummy.customer.218@example.test', '+1-555-1218', 'Acme Division 19 LLC', '218 Test Street, Suite 18, Metro City, TC 10218', '218 Ship Lane, Dock 8, Port Town, PT 90210', 'TAX-1000218', NULL, 'ACTIVE'),
  ('Dummy Customer 219', 'dummy.customer.219@example.test', '+1-555-1219', 'Acme Division 20 LLC', '219 Test Street, Suite 19, Metro City, TC 10219', '219 Ship Lane, Dock 9, Port Town, PT 90210', 'TAX-1000219', NULL, 'ACTIVE'),
  ('Dummy Customer 220', 'dummy.customer.220@example.test', '+1-555-1220', 'Acme Division 21 LLC', '220 Test Street, Suite 20, Metro City, TC 10220', '220 Ship Lane, Dock 10, Port Town, PT 90210', 'TAX-1000220', NULL, 'ACTIVE'),
  ('Dummy Customer 221', 'dummy.customer.221@example.test', '+1-555-1221', 'Acme Division 22 LLC', '221 Test Street, Suite 21, Metro City, TC 10221', '221 Ship Lane, Dock 11, Port Town, PT 90210', 'TAX-1000221', NULL, 'ACTIVE'),
  ('Dummy Customer 222', 'dummy.customer.222@example.test', '+1-555-1222', 'Acme Division 23 LLC', '222 Test Street, Suite 22, Metro City, TC 10222', '222 Ship Lane, Dock 12, Port Town, PT 90210', 'TAX-1000222', NULL, 'ACTIVE'),
  ('Dummy Customer 223', 'dummy.customer.223@example.test', '+1-555-1223', 'Acme Division 24 LLC', '223 Test Street, Suite 23, Metro City, TC 10223', '223 Ship Lane, Dock 13, Port Town, PT 90210', 'TAX-1000223', NULL, 'ACTIVE'),
  ('Dummy Customer 224', 'dummy.customer.224@example.test', '+1-555-1224', 'Acme Division 25 LLC', '224 Test Street, Suite 24, Metro City, TC 10224', '224 Test Street, Suite 24, Metro City, TC 10224', 'TAX-1000224', NULL, 'ACTIVE'),
  ('Dummy Customer 225', 'dummy.customer.225@example.test', '+1-555-1225', 'Acme Division 26 LLC', '225 Test Street, Suite 25, Metro City, TC 10225', '225 Ship Lane, Dock 15, Port Town, PT 90210', 'TAX-1000225', NULL, 'ACTIVE'),
  ('Dummy Customer 226', 'dummy.customer.226@example.test', '+1-555-1226', 'Acme Division 27 LLC', '226 Test Street, Suite 26, Metro City, TC 10226', '226 Ship Lane, Dock 16, Port Town, PT 90210', 'TAX-1000226', NULL, 'ACTIVE'),
  ('Dummy Customer 227', 'dummy.customer.227@example.test', '+1-555-1227', 'Acme Division 28 LLC', '227 Test Street, Suite 27, Metro City, TC 10227', '227 Ship Lane, Dock 17, Port Town, PT 90210', 'TAX-1000227', NULL, 'ACTIVE'),
  ('Dummy Customer 228', 'dummy.customer.228@example.test', '+1-555-1228', 'Acme Division 29 LLC', '228 Test Street, Suite 28, Metro City, TC 10228', '228 Ship Lane, Dock 18, Port Town, PT 90210', 'TAX-1000228', NULL, 'ACTIVE'),
  ('Dummy Customer 229', 'dummy.customer.229@example.test', '+1-555-1229', 'Acme Division 30 LLC', '229 Test Street, Suite 29, Metro City, TC 10229', '229 Ship Lane, Dock 19, Port Town, PT 90210', 'TAX-1000229', NULL, 'ACTIVE'),
  ('Dummy Customer 230', 'dummy.customer.230@example.test', '+1-555-1230', 'Acme Division 31 LLC', '230 Test Street, Suite 30, Metro City, TC 10230', '230 Ship Lane, Dock 20, Port Town, PT 90210', 'TAX-1000230', NULL, 'ACTIVE'),
  ('Dummy Customer 231', 'dummy.customer.231@example.test', '+1-555-1231', 'Acme Division 32 LLC', '231 Test Street, Suite 31, Metro City, TC 10231', '231 Test Street, Suite 31, Metro City, TC 10231', 'TAX-1000231', NULL, 'ACTIVE'),
  ('Dummy Customer 232', 'dummy.customer.232@example.test', '+1-555-1232', 'Acme Division 33 LLC', '232 Test Street, Suite 32, Metro City, TC 10232', '232 Ship Lane, Dock 22, Port Town, PT 90210', 'TAX-1000232', NULL, 'ACTIVE'),
  ('Dummy Customer 233', 'dummy.customer.233@example.test', '+1-555-1233', 'Acme Division 34 LLC', '233 Test Street, Suite 33, Metro City, TC 10233', '233 Ship Lane, Dock 23, Port Town, PT 90210', 'TAX-1000233', NULL, 'ACTIVE'),
  ('Dummy Customer 234', 'dummy.customer.234@example.test', '+1-555-1234', 'Acme Division 35 LLC', '234 Test Street, Suite 34, Metro City, TC 10234', '234 Ship Lane, Dock 24, Port Town, PT 90210', 'TAX-1000234', NULL, 'ACTIVE'),
  ('Dummy Customer 235', 'dummy.customer.235@example.test', '+1-555-1235', 'Acme Division 36 LLC', '235 Test Street, Suite 35, Metro City, TC 10235', '235 Ship Lane, Dock 25, Port Town, PT 90210', 'TAX-1000235', NULL, 'ACTIVE'),
  ('Dummy Customer 236', 'dummy.customer.236@example.test', '+1-555-1236', 'Acme Division 37 LLC', '236 Test Street, Suite 36, Metro City, TC 10236', '236 Ship Lane, Dock 26, Port Town, PT 90210', 'TAX-1000236', NULL, 'ACTIVE'),
  ('Dummy Customer 237', 'dummy.customer.237@example.test', '+1-555-1237', 'Acme Division 38 LLC', '237 Test Street, Suite 37, Metro City, TC 10237', '237 Ship Lane, Dock 27, Port Town, PT 90210', 'TAX-1000237', NULL, 'ACTIVE'),
  ('Dummy Customer 238', 'dummy.customer.238@example.test', '+1-555-1238', 'Acme Division 39 LLC', '238 Test Street, Suite 38, Metro City, TC 10238', '238 Test Street, Suite 38, Metro City, TC 10238', 'TAX-1000238', NULL, 'ACTIVE'),
  ('Dummy Customer 239', 'dummy.customer.239@example.test', '+1-555-1239', 'Acme Division 40 LLC', '239 Test Street, Suite 39, Metro City, TC 10239', '239 Ship Lane, Dock 29, Port Town, PT 90210', 'TAX-1000239', NULL, 'ACTIVE'),
  ('Dummy Customer 240', 'dummy.customer.240@example.test', '+1-555-1240', 'Acme Division 41 LLC', '240 Test Street, Suite 40, Metro City, TC 10240', '240 Ship Lane, Dock 0, Port Town, PT 90210', 'TAX-1000240', NULL, 'ACTIVE'),
  ('Dummy Customer 241', 'dummy.customer.241@example.test', '+1-555-1241', 'Acme Division 42 LLC', '241 Test Street, Suite 41, Metro City, TC 10241', '241 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000241', NULL, 'ACTIVE'),
  ('Dummy Customer 242', 'dummy.customer.242@example.test', '+1-555-1242', 'Acme Division 43 LLC', '242 Test Street, Suite 42, Metro City, TC 10242', '242 Ship Lane, Dock 2, Port Town, PT 90210', 'TAX-1000242', NULL, 'ACTIVE'),
  ('Dummy Customer 243', 'dummy.customer.243@example.test', '+1-555-1243', 'Acme Division 44 LLC', '243 Test Street, Suite 43, Metro City, TC 10243', '243 Ship Lane, Dock 3, Port Town, PT 90210', 'TAX-1000243', NULL, 'ACTIVE'),
  ('Dummy Customer 244', 'dummy.customer.244@example.test', '+1-555-1244', 'Acme Division 45 LLC', '244 Test Street, Suite 44, Metro City, TC 10244', '244 Ship Lane, Dock 4, Port Town, PT 90210', 'TAX-1000244', NULL, 'ACTIVE'),
  ('Dummy Customer 245', 'dummy.customer.245@example.test', '+1-555-1245', 'Acme Division 46 LLC', '245 Test Street, Suite 45, Metro City, TC 10245', '245 Test Street, Suite 45, Metro City, TC 10245', 'TAX-1000245', NULL, 'ACTIVE'),
  ('Dummy Customer 246', 'dummy.customer.246@example.test', '+1-555-1246', 'Acme Division 47 LLC', '246 Test Street, Suite 46, Metro City, TC 10246', '246 Ship Lane, Dock 6, Port Town, PT 90210', 'TAX-1000246', NULL, 'ACTIVE'),
  ('Dummy Customer 247', 'dummy.customer.247@example.test', '+1-555-1247', 'Acme Division 48 LLC', '247 Test Street, Suite 47, Metro City, TC 10247', '247 Ship Lane, Dock 7, Port Town, PT 90210', 'TAX-1000247', NULL, 'ACTIVE'),
  ('Dummy Customer 248', 'dummy.customer.248@example.test', '+1-555-1248', 'Acme Division 49 LLC', '248 Test Street, Suite 48, Metro City, TC 10248', '248 Ship Lane, Dock 8, Port Town, PT 90210', 'TAX-1000248', NULL, 'ACTIVE'),
  ('Dummy Customer 249', 'dummy.customer.249@example.test', '+1-555-1249', 'Acme Division 50 LLC', '249 Test Street, Suite 49, Metro City, TC 10249', '249 Ship Lane, Dock 9, Port Town, PT 90210', 'TAX-1000249', NULL, 'ACTIVE'),
  ('Dummy Customer 250', 'dummy.customer.250@example.test', '+1-555-1250', 'Acme Division 1 LLC', '250 Test Street, Suite 50, Metro City, TC 10250', '250 Ship Lane, Dock 10, Port Town, PT 90210', 'TAX-1000250', NULL, 'ACTIVE'),
  ('Dummy Customer 251', 'dummy.customer.251@example.test', '+1-555-1251', 'Acme Division 2 LLC', '251 Test Street, Suite 51, Metro City, TC 10251', '251 Ship Lane, Dock 11, Port Town, PT 90210', 'TAX-1000251', NULL, 'ACTIVE'),
  ('Dummy Customer 252', 'dummy.customer.252@example.test', '+1-555-1252', 'Acme Division 3 LLC', '252 Test Street, Suite 52, Metro City, TC 10252', '252 Test Street, Suite 52, Metro City, TC 10252', 'TAX-1000252', NULL, 'ACTIVE'),
  ('Dummy Customer 253', 'dummy.customer.253@example.test', '+1-555-1253', 'Acme Division 4 LLC', '253 Test Street, Suite 53, Metro City, TC 10253', '253 Ship Lane, Dock 13, Port Town, PT 90210', 'TAX-1000253', NULL, 'ACTIVE'),
  ('Dummy Customer 254', 'dummy.customer.254@example.test', '+1-555-1254', 'Acme Division 5 LLC', '254 Test Street, Suite 54, Metro City, TC 10254', '254 Ship Lane, Dock 14, Port Town, PT 90210', 'TAX-1000254', NULL, 'ACTIVE'),
  ('Dummy Customer 255', 'dummy.customer.255@example.test', '+1-555-1255', 'Acme Division 6 LLC', '255 Test Street, Suite 55, Metro City, TC 10255', '255 Ship Lane, Dock 15, Port Town, PT 90210', 'TAX-1000255', NULL, 'ACTIVE'),
  ('Dummy Customer 256', 'dummy.customer.256@example.test', '+1-555-1256', 'Acme Division 7 LLC', '256 Test Street, Suite 56, Metro City, TC 10256', '256 Ship Lane, Dock 16, Port Town, PT 90210', 'TAX-1000256', NULL, 'ACTIVE'),
  ('Dummy Customer 257', 'dummy.customer.257@example.test', '+1-555-1257', 'Acme Division 8 LLC', '257 Test Street, Suite 57, Metro City, TC 10257', '257 Ship Lane, Dock 17, Port Town, PT 90210', 'TAX-1000257', NULL, 'ACTIVE'),
  ('Dummy Customer 258', 'dummy.customer.258@example.test', '+1-555-1258', 'Acme Division 9 LLC', '258 Test Street, Suite 58, Metro City, TC 10258', '258 Ship Lane, Dock 18, Port Town, PT 90210', 'TAX-1000258', NULL, 'ACTIVE'),
  ('Dummy Customer 259', 'dummy.customer.259@example.test', '+1-555-1259', 'Acme Division 10 LLC', '259 Test Street, Suite 59, Metro City, TC 10259', '259 Test Street, Suite 59, Metro City, TC 10259', 'TAX-1000259', NULL, 'ACTIVE'),
  ('Dummy Customer 260', 'dummy.customer.260@example.test', '+1-555-1260', 'Acme Division 11 LLC', '260 Test Street, Suite 60, Metro City, TC 10260', '260 Ship Lane, Dock 20, Port Town, PT 90210', 'TAX-1000260', NULL, 'ACTIVE'),
  ('Dummy Customer 261', 'dummy.customer.261@example.test', '+1-555-1261', 'Acme Division 12 LLC', '261 Test Street, Suite 61, Metro City, TC 10261', '261 Ship Lane, Dock 21, Port Town, PT 90210', 'TAX-1000261', NULL, 'ACTIVE'),
  ('Dummy Customer 262', 'dummy.customer.262@example.test', '+1-555-1262', 'Acme Division 13 LLC', '262 Test Street, Suite 62, Metro City, TC 10262', '262 Ship Lane, Dock 22, Port Town, PT 90210', 'TAX-1000262', NULL, 'ACTIVE'),
  ('Dummy Customer 263', 'dummy.customer.263@example.test', '+1-555-1263', 'Acme Division 14 LLC', '263 Test Street, Suite 63, Metro City, TC 10263', '263 Ship Lane, Dock 23, Port Town, PT 90210', 'TAX-1000263', NULL, 'ACTIVE'),
  ('Dummy Customer 264', 'dummy.customer.264@example.test', '+1-555-1264', 'Acme Division 15 LLC', '264 Test Street, Suite 64, Metro City, TC 10264', '264 Ship Lane, Dock 24, Port Town, PT 90210', 'TAX-1000264', NULL, 'ACTIVE'),
  ('Dummy Customer 265', 'dummy.customer.265@example.test', '+1-555-1265', 'Acme Division 16 LLC', '265 Test Street, Suite 65, Metro City, TC 10265', '265 Ship Lane, Dock 25, Port Town, PT 90210', 'TAX-1000265', NULL, 'ACTIVE'),
  ('Dummy Customer 266', 'dummy.customer.266@example.test', '+1-555-1266', 'Acme Division 17 LLC', '266 Test Street, Suite 66, Metro City, TC 10266', '266 Test Street, Suite 66, Metro City, TC 10266', 'TAX-1000266', NULL, 'ACTIVE'),
  ('Dummy Customer 267', 'dummy.customer.267@example.test', '+1-555-1267', 'Acme Division 18 LLC', '267 Test Street, Suite 67, Metro City, TC 10267', '267 Ship Lane, Dock 27, Port Town, PT 90210', 'TAX-1000267', NULL, 'ACTIVE'),
  ('Dummy Customer 268', 'dummy.customer.268@example.test', '+1-555-1268', 'Acme Division 19 LLC', '268 Test Street, Suite 68, Metro City, TC 10268', '268 Ship Lane, Dock 28, Port Town, PT 90210', 'TAX-1000268', NULL, 'ACTIVE'),
  ('Dummy Customer 269', 'dummy.customer.269@example.test', '+1-555-1269', 'Acme Division 20 LLC', '269 Test Street, Suite 69, Metro City, TC 10269', '269 Ship Lane, Dock 29, Port Town, PT 90210', 'TAX-1000269', NULL, 'ACTIVE'),
  ('Dummy Customer 270', 'dummy.customer.270@example.test', '+1-555-1270', 'Acme Division 21 LLC', '270 Test Street, Suite 70, Metro City, TC 10270', '270 Ship Lane, Dock 0, Port Town, PT 90210', 'TAX-1000270', NULL, 'ACTIVE'),
  ('Dummy Customer 271', 'dummy.customer.271@example.test', '+1-555-1271', 'Acme Division 22 LLC', '271 Test Street, Suite 71, Metro City, TC 10271', '271 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000271', NULL, 'ACTIVE'),
  ('Dummy Customer 272', 'dummy.customer.272@example.test', '+1-555-1272', 'Acme Division 23 LLC', '272 Test Street, Suite 72, Metro City, TC 10272', '272 Ship Lane, Dock 2, Port Town, PT 90210', 'TAX-1000272', NULL, 'ACTIVE'),
  ('Dummy Customer 273', 'dummy.customer.273@example.test', '+1-555-1273', 'Acme Division 24 LLC', '273 Test Street, Suite 73, Metro City, TC 10273', '273 Test Street, Suite 73, Metro City, TC 10273', 'TAX-1000273', NULL, 'ACTIVE'),
  ('Dummy Customer 274', 'dummy.customer.274@example.test', '+1-555-1274', 'Acme Division 25 LLC', '274 Test Street, Suite 74, Metro City, TC 10274', '274 Ship Lane, Dock 4, Port Town, PT 90210', 'TAX-1000274', NULL, 'ACTIVE'),
  ('Dummy Customer 275', 'dummy.customer.275@example.test', '+1-555-1275', 'Acme Division 26 LLC', '275 Test Street, Suite 75, Metro City, TC 10275', '275 Ship Lane, Dock 5, Port Town, PT 90210', 'TAX-1000275', NULL, 'ACTIVE'),
  ('Dummy Customer 276', 'dummy.customer.276@example.test', '+1-555-1276', 'Acme Division 27 LLC', '276 Test Street, Suite 76, Metro City, TC 10276', '276 Ship Lane, Dock 6, Port Town, PT 90210', 'TAX-1000276', NULL, 'ACTIVE'),
  ('Dummy Customer 277', 'dummy.customer.277@example.test', '+1-555-1277', 'Acme Division 28 LLC', '277 Test Street, Suite 77, Metro City, TC 10277', '277 Ship Lane, Dock 7, Port Town, PT 90210', 'TAX-1000277', NULL, 'ACTIVE'),
  ('Dummy Customer 278', 'dummy.customer.278@example.test', '+1-555-1278', 'Acme Division 29 LLC', '278 Test Street, Suite 78, Metro City, TC 10278', '278 Ship Lane, Dock 8, Port Town, PT 90210', 'TAX-1000278', NULL, 'ACTIVE'),
  ('Dummy Customer 279', 'dummy.customer.279@example.test', '+1-555-1279', 'Acme Division 30 LLC', '279 Test Street, Suite 79, Metro City, TC 10279', '279 Ship Lane, Dock 9, Port Town, PT 90210', 'TAX-1000279', NULL, 'ACTIVE'),
  ('Dummy Customer 280', 'dummy.customer.280@example.test', '+1-555-1280', 'Acme Division 31 LLC', '280 Test Street, Suite 80, Metro City, TC 10280', '280 Test Street, Suite 80, Metro City, TC 10280', 'TAX-1000280', NULL, 'ACTIVE'),
  ('Dummy Customer 281', 'dummy.customer.281@example.test', '+1-555-1281', 'Acme Division 32 LLC', '281 Test Street, Suite 81, Metro City, TC 10281', '281 Ship Lane, Dock 11, Port Town, PT 90210', 'TAX-1000281', NULL, 'ACTIVE'),
  ('Dummy Customer 282', 'dummy.customer.282@example.test', '+1-555-1282', 'Acme Division 33 LLC', '282 Test Street, Suite 82, Metro City, TC 10282', '282 Ship Lane, Dock 12, Port Town, PT 90210', 'TAX-1000282', NULL, 'ACTIVE'),
  ('Dummy Customer 283', 'dummy.customer.283@example.test', '+1-555-1283', 'Acme Division 34 LLC', '283 Test Street, Suite 83, Metro City, TC 10283', '283 Ship Lane, Dock 13, Port Town, PT 90210', 'TAX-1000283', NULL, 'ACTIVE'),
  ('Dummy Customer 284', 'dummy.customer.284@example.test', '+1-555-1284', 'Acme Division 35 LLC', '284 Test Street, Suite 84, Metro City, TC 10284', '284 Ship Lane, Dock 14, Port Town, PT 90210', 'TAX-1000284', NULL, 'ACTIVE'),
  ('Dummy Customer 285', 'dummy.customer.285@example.test', '+1-555-1285', 'Acme Division 36 LLC', '285 Test Street, Suite 85, Metro City, TC 10285', '285 Ship Lane, Dock 15, Port Town, PT 90210', 'TAX-1000285', NULL, 'ACTIVE'),
  ('Dummy Customer 286', 'dummy.customer.286@example.test', '+1-555-1286', 'Acme Division 37 LLC', '286 Test Street, Suite 86, Metro City, TC 10286', '286 Ship Lane, Dock 16, Port Town, PT 90210', 'TAX-1000286', NULL, 'ACTIVE'),
  ('Dummy Customer 287', 'dummy.customer.287@example.test', '+1-555-1287', 'Acme Division 38 LLC', '287 Test Street, Suite 87, Metro City, TC 10287', '287 Test Street, Suite 87, Metro City, TC 10287', 'TAX-1000287', NULL, 'ACTIVE'),
  ('Dummy Customer 288', 'dummy.customer.288@example.test', '+1-555-1288', 'Acme Division 39 LLC', '288 Test Street, Suite 88, Metro City, TC 10288', '288 Ship Lane, Dock 18, Port Town, PT 90210', 'TAX-1000288', NULL, 'ACTIVE'),
  ('Dummy Customer 289', 'dummy.customer.289@example.test', '+1-555-1289', 'Acme Division 40 LLC', '289 Test Street, Suite 89, Metro City, TC 10289', '289 Ship Lane, Dock 19, Port Town, PT 90210', 'TAX-1000289', NULL, 'ACTIVE'),
  ('Dummy Customer 290', 'dummy.customer.290@example.test', '+1-555-1290', 'Acme Division 41 LLC', '290 Test Street, Suite 90, Metro City, TC 10290', '290 Ship Lane, Dock 20, Port Town, PT 90210', 'TAX-1000290', NULL, 'ACTIVE'),
  ('Dummy Customer 291', 'dummy.customer.291@example.test', '+1-555-1291', 'Acme Division 42 LLC', '291 Test Street, Suite 91, Metro City, TC 10291', '291 Ship Lane, Dock 21, Port Town, PT 90210', 'TAX-1000291', NULL, 'ACTIVE'),
  ('Dummy Customer 292', 'dummy.customer.292@example.test', '+1-555-1292', 'Acme Division 43 LLC', '292 Test Street, Suite 92, Metro City, TC 10292', '292 Ship Lane, Dock 22, Port Town, PT 90210', 'TAX-1000292', NULL, 'ACTIVE'),
  ('Dummy Customer 293', 'dummy.customer.293@example.test', '+1-555-1293', 'Acme Division 44 LLC', '293 Test Street, Suite 93, Metro City, TC 10293', '293 Ship Lane, Dock 23, Port Town, PT 90210', 'TAX-1000293', NULL, 'ACTIVE'),
  ('Dummy Customer 294', 'dummy.customer.294@example.test', '+1-555-1294', 'Acme Division 45 LLC', '294 Test Street, Suite 94, Metro City, TC 10294', '294 Test Street, Suite 94, Metro City, TC 10294', 'TAX-1000294', NULL, 'ACTIVE'),
  ('Dummy Customer 295', 'dummy.customer.295@example.test', '+1-555-1295', 'Acme Division 46 LLC', '295 Test Street, Suite 95, Metro City, TC 10295', '295 Ship Lane, Dock 25, Port Town, PT 90210', 'TAX-1000295', NULL, 'ACTIVE'),
  ('Dummy Customer 296', 'dummy.customer.296@example.test', '+1-555-1296', 'Acme Division 47 LLC', '296 Test Street, Suite 96, Metro City, TC 10296', '296 Ship Lane, Dock 26, Port Town, PT 90210', 'TAX-1000296', NULL, 'ACTIVE'),
  ('Dummy Customer 297', 'dummy.customer.297@example.test', '+1-555-1297', 'Acme Division 48 LLC', '297 Test Street, Suite 97, Metro City, TC 10297', '297 Ship Lane, Dock 27, Port Town, PT 90210', 'TAX-1000297', NULL, 'ACTIVE'),
  ('Dummy Customer 298', 'dummy.customer.298@example.test', '+1-555-1298', 'Acme Division 49 LLC', '298 Test Street, Suite 98, Metro City, TC 10298', '298 Ship Lane, Dock 28, Port Town, PT 90210', 'TAX-1000298', NULL, 'ACTIVE'),
  ('Dummy Customer 299', 'dummy.customer.299@example.test', '+1-555-1299', 'Acme Division 50 LLC', '299 Test Street, Suite 99, Metro City, TC 10299', '299 Ship Lane, Dock 29, Port Town, PT 90210', 'TAX-1000299', NULL, 'ACTIVE'),
  ('Dummy Customer 300', 'dummy.customer.300@example.test', '+1-555-1300', 'Acme Division 1 LLC', '300 Test Street, Suite 100, Metro City, TC 10300', '300 Ship Lane, Dock 0, Port Town, PT 90210', 'TAX-1000300', NULL, 'ACTIVE');
SET FOREIGN_KEY_CHECKS=1;

-- End of dummy_data_300.txt (300 customers)
